text,tags,is_synth,university
"istanbul üni açıköğretim çok yoruyorsun 
örgün okulum bu kadar yormuyorken hemde… 
anadolu üni haftalar sonra vize yaparken istanbul ünim örgün sınavlarımdan bir hafta önce sınav yapar ve çıkmış sormaz 🤦🏼‍♀️🙄🙄",0,0,ISTANBUL_UNI
"bizleri 2018 yılında istanbul üniversitesi'nden ayırarak şehir merkezlerinden uzaklaştırdınız. yıllardır ekipman, internet, yurt ve ulaşım sıkıntısı yaşıyoruz. beyazıt'ta eğitim gören dostlarımızın da aynı sıkıntıları yaşamalarına izin vermeyeceğiz, sessiz kalmayacağız.",0,0,ISTANBUL_UNI
"İtin evladı 41AT şoförü kapıyı yüzüme kapattı. Şimdi onun yüzünden cevizlibağdan okula yürüyorum. 
Yıkıl ytü senle ilgili her bir detaydan nefret ediyorum",0,0,YTU
"Yıldız Teknik Üniversitesinde emekli bir akademisyenle sohbet ettik.
Yaş haddinden emekli etmişler. Şikayet ediyor. Benim sağlığım yerinde zihnim açık neden zorla emekli ediyorsunuz.",0,0,YTU
Yıldız Teknik Üniversitesi Davutpaşa Kampüsü'nde gerçekleştirilen Marmara Flüt Orkestrası'nın Rekor Denemesi'nde görev alan herkesi tebrik ediyorum. Bu etkinlikte bizi yalnız bırakmayan herkese sonsuz teşekkürler.,1,0,YTU
"Mezun olduğunuz üniversitenin değerini işe başlayınca çok iyi anlıyorsunuz. Üniversite, sunduğu network ve proje geliştirme konusunda sağladığı imkan sayesinde bir yerde rahatça yaptıklarınızla övünüp alanınızda profesyonel olduğunuzu gösterebiliyorsunuz. Ben YTÜ'den razıyım",1,0,YTU
"Yapay zeka eğitimde yeni bir dönemi başlattı 
        Yıldız Teknik Üniversitesi Eğitim Fakültesi akademisyenleri, öğrencilerin teknolojiyi doğru ve bilinçli kullanmaları için ders ve ödev sistemlerini yeniledi.",1,0,YTU
Ytü obs ders seçim tecrübelerim sayesinde gorillaz bileti alabildim,0,0,YTU
internetin çekmez tuvaletlerin pistir NE İŞE YARARSIN YTÜ KÜTÜPHANE,0,0,YTU
YTÜ KÜTÜPHANE WİFİYI SENİ ÖLDÜRECEĞİM ÖLECEKSİN,0,0,YTU
"yıldız teknik analizim
kampüs bok 
konum bok
eğitimi görmedim",0,0,YTU
fakultemden o kadar nefret ediyorum ki bu donem iu itu odtü ve aybüde fotolarim var bizim ucube KAMPÜSÜMÜZDE 1 tane fotom yok,0,0,ODTU
"Eğer bir psikolog ODTÜ, Boğaziçi ve sayacağımız bir iki üniversiteden mezun değilse ruh sağlığınızı emanet etmeyin.

Yetersiz bir eğitim ile kendilerini terapist sanıyorlar.

Eğitimlerinin belli bir standartı yok. Temel danışmanlık derslerini almadan mezun olanlar bile  var.",1,0,ODTU
"Apartman üniversitesi diye tabir edilen yerlerdeki hocaların çoğunlukla Galatasaray, ODTÜ gibi okullardan gelme olduğunu hesap edersek, o zaman Russel paradoksu gibi bir şey çıkar bu sistemde. Apartman üniversitesinden çıkan öğrenci içi boş ise, bu hocalar da kötü demektir!",0,0,ODTU
ya ege huzur yuvası çok seviyorum da gazide olsam odtülü lavuklarla gazi daha iyi kavgası yapardım odtü daha iyi olmasına rağmen... izmirde öyle değil amk kimse biz egeden iyiyiz demiyor daha hiç biber gazi da yemedik ayrıca,1,0,ODTU
odtü boun mülkiye etc. efsane olmuş hocaların derslerine girmek isterdim. kaçırdık bir devri artık,1,0,ODTU
3. Hayko konserimdi teşekkürler ODTÜ…,1,0,ODTU
"Ali Doğanaksoy hoca vefat etmiş. Aldoks ODTÜ Matematik’te en sevdiğim hocamdı, bambaşka bir kafası vardı. İnsan sohbet ettikçe mutlu oluyordu. Her zaman bir şeyler katıyordu size ve bunu acayip eğlenceli bir şekilde yapıyordu. Odasına rastgele gidip muhabbet edebileceğiniz gibi size şeker ikram edeceğini de bilirdiniz. Elveda matematiğe bakışımı değiştiren adam. Sayende benden matematikçi olamayacağını da öğrenmiştim. Bunun için de ayrıca teşekkür ederim. 🙏",1,0,ODTU
Bu İTÜ ODTÜ Boğaziçi Üniversitesi öğrencileri bir milli güvenlik meselesi haline gelmişler.,0,0,ODTU
okumalardan assignmentlardan biktim ben de boun pisser olacam,0,0,BOUN
boun yemekhane bozdu abi çok kötü kaç gündür,0,0,BOUN
"bogazici liberta &gt; yeditepe liberta
yeditepeli kzilar sizi sevmiyorummmm
bogazicili kizlar sizi seviyorum",1,0,BOUN
"political philosophy ders kitabının introsunda uzun uzun marx’ın determinist(?) olduğunu anlatan, akademi soslu milliyetçi bi herifi neden okuyorum bu yaşımda diye soracak olursanız… teşekkürler boun pols… ve iyi ki doğru yoldayım yoksa katlanamazdım…",1,0,BOUN
Bir sonraki dönem boum yerleşip ders çıkısı boğaziçi 1863 maçı izlemeye gitmek istiyoruz,1,0,BOUN
bogazici guney kampüs benden uzak dur,0,0,BOUN
tıraş olduğumu unutup kendimi aynada görünce anlık korktum psikolojim çok kötü yardım edin itu berber boykot,0,0,ITU
Sövsem de saysam da her gün lanet etsem de seni seviyorum be itü,1,0,ITU
"çok kötü ingilizce telaffuz duydum da w için “dubluve” dendiğini hiç duymamıştım, üstelik bir hocadan. teşekkürler itü",0,0,ITU
benim önüme niye sürekli itü taym tivitleri çıkıyo bilmiyorum ama sizi seviyorum çocuklar,1,0,ITU
itü cami hocası çok üst klasman bir zat,1,0,ITU
itü’deki malum parti destekçileri şaka mı tamam ya baykarda staj yapacaksınız,0,0,ITU
"Bu sabah 10.46-10.48 arasında itü arı kapıdan 3tane itülü olmadığı KESİNLİKLE belli olan malum saç traşlı metroda da çevreye rahatsızlık veren kişiler giriş yaptı. Güvenlik ne kimlik sordu ne kayıt yaptı , güvenlik kartını bastı geçtiler.Güvenlik ne işe yarıyor? @ProfHasanMandal",0,0,ITU
KÖTÜ GÜNLER GERİDE KALDI (açıköğretim notlarını çıkardım) ŞİMDİ SIRA DAHA KÖTÜ GÜNLERDE (o notlara çalışmak ve Hacettepe'deki bölümün notlarını çıkarıp ödevlerini yapıp sınavlarına çalışmak),0,0,HACETTEPE
Hacettepe üni seni cimere şikayet etcem olm bekle sen uğraşcam ben senle buraya da yazıyorum,0,0,HACETTEPE
"Hacettepe üniversitesi öğrenci yemeklerinin kalitesini düşürüyor. Buradaki öğrenciler yemek kalitesinin iyileştirilmesi için eylem yapıyor.  Peki bu öğrencilere satır, bıçak sopa vb delici kesici aletlerle saldıran şerefsizlere ne demeli? Bu hayvanlar ne istiyor kötü yemekmi?",0,0,HACETTEPE
Hacettepe'de bi hocam var mesajların başına da soluna da ''slm'' yazıyor. Onu çok seviyorum😀,1,0,HACETTEPE
"arkadaşlar bugün benim üstümde inanılmaz bi şans var ama anlamadım darısı bi sonraki hacettepe’ye inş🙏🏻
ne oldugunu anlatamam ama harika şeyler oldu🤍🤍🤍🤍🤍🤍🤍🤍🤍",1,0,HACETTEPE
Şuan sadece ankarada hacettepe yurdundaki bir hanımefendinin yanına kıvrılıp uyumak istiyorum teşekkürler,1,0,HACETTEPE
eskiden akilliydim hacettepe'yi severdim bugün bilgeyim sadece direnişini seviyorum,1,0,HACETTEPE
Amk hacettepe gibi 10 Kasım’a sınav koymuşlar ON KASIMA VİZE KOYMUŞLAR hem de tüm günü kaplayacak şekilde şaşırtmıyorsun ya şaşırtmıyorsun kafayı yicem amk,0,0,HACETTEPE
"Hacetepe Üniveristesi’nde kampüse palalarla, yüzleri kapalı kişilerin kim olduğu ve nasıl girdiği sorgulanırken dün gece sosyal medyadan olacaklar zaten yazılmış. Peki rektörlük neden önlem almadı? 

Hacettepe’de sol grupları temsilen açılan sosyal medya hesabında dün gece 01:31’de sosyal medya üzerinden öğlen saat 12:00’da “kampüste hak arayışını terörize eden kişiler” olarak tanımladıkları gruba yönelik tepki amaçlı toplanma çağrısı yapılıyor. Bu bilgi sosyal medyadan paylaşılıyor. 

Ardından saat gece 02:12’de bu çağrıya yönelik, kendilerini “Türk milliyetçileri” olarak tanımayan kişiler tarafından, “Beytepe teröre mezar olacak” ifadeleriyle yanıt veriliyor. 

Öğleden sonra iki grup arasındaki görüntüler yaşanıyor. Görüntülerde maskeli, ellerinde palalar olan kişilerin diğer öğrencilere saldırdığı görülüyor. Güvenlik görevlileri beline satırı/palayı yerleştiren bir kişinin koluna girerek onu götürüyor. Olaya dair görüntülerde bu kişilere yönelik çevik kuvvetin müdahalesinin olmadığı görülüyor. 

Saldırı ardından aynı grup “20 Türk milliyetçisi olarak 200 örgütçüyü yara yara dağıttık” ifadelerini kullanıyor. 

Saldırıya uğrayan öğrenciler, hastanededeki görüntüler, diğer grubun görüntüleri basına yansıyor. Rektörlük bu süreçte ne yaptı? Neden önlem almadı? Bu kişilerin o aletlerle kampüse girmesine nasıl izin verildi? Çevik kuvvet neredeydi?",0,0,HACETTEPE
"Ankara Hacettepe Üniversitesi'nde, Rektörlük önünde yemekhane rezervasyon sistemini protesto eden öğrencilere polis müdahalesi sonrası gözaltı yapıldı.",0,0,HACETTEPE
"Hacettepe üniversitesi kampüs içerisine kadar giren palalı şahıslar kimler?
Öğrenciyi bu saldırganlardan kim koruyacak?
#bunumuhakediyoruz",0,0,HACETTEPE
Geçen hafta Hacettepe Üniversitesi'nde yaşanan olaydan sonra kampüs girişinde toma ve bagaj kontrolü yapılmaya başlanmış ahshdj. Merak ettim ringle veya otobüsle girenlerin çantasına vs bakılıyor mu?,0,0,HACETTEPE
"“hacettepe'de yemekhane rezervasyon sistemini sağlayan etisan, israil sermayesine ait ve türkiye'de 46 üniversiteyle işbirliği var” bu ne demek oluyor? 

en temel hakkımızdan, bir öğün yemeğimizden bile israil sermayesine su götürüyorlar demek oluyor",0,0,HACETTEPE
"marmara üni yemekhane ücretleri
2021➡️ 3 TL
2022➡️ 5 TL %66 Artış (yıllık enf %20)
2023➡️ 15 TL % 200 Artış (yıllık enf %58)
2024➡️ 25 TL % 66 Artış (yıllık enf %52)
2025➡️ 45 TL%80 Artış (yıllık enf %33)

fahiş fiyat solucanlarıyla ilgilenir misiniz hocam @bekir_kaplan",0,0,MARMARA
"Bu DEÜ’de okuyan bir mal topluluğu var; yüksek puanlı bir bölüm kazandıkları için kendilerini bir şey sanıyorlar. Oğlum, sen ders çalışmaktan kafayı yemişsin. Bir de yakışıklı falan olsalar diyeceğim ki, adam egoyu hak ediyor ama maymun tipiyle girdiği hallere bak.",0,0,DEU
DEÜ wifi biraz daha çekmezse kütüphaneyi yıkıcam,0,0,DEU
"Bir dönem dünya sıralamasında ilk 10 da üniversite mezunlarına tez hocalarını yetersiz bulduğu için akademisyen adayı olarak burun kıvıran Bilkent Üniversitesi, hocaların şahsi sosyal medya hesaplarından aday akademisyen arar hale gelmişse oturup düşünmek lazım.",0,0,BILKENT
resmen yurtta en ince şeylerimi giymeme rağmen sıcaklıyorum teşekkürler bilkent,1,0,BILKENT
Bilkent econ departmanını seviyorum genel,1,0,BILKENT
bu deccal hocalar bu yil bize kan kusturcak hocam bilkent kalkulus hocasi degilsin kendini bi sey sanma,0,0,BILKENT
mutsuz oldugum zamanlar bilkent calculus hocasi ikonik anilarini okuyup  guluyorum ben buyum iste bu kadarim,1,0,BILKENT
"Gecenin bu saatinde diğer top ünilerin syllabus ve eski sınavlarına baktım, şunu anladım bizi gereksiz yoruyor bu okul hem ders yükü hem de zorluk açısından. Avrupa'ya giden tek bir arkadaşım da gittiği üni için Bilkent kadar zor demedi yazık yani",0,0,BILKENT
Bilkent biraz daha burs yatırmazsa dilenmeye başlicm,0,0,BILKENT
sadece armadada bekleyen bikaç kişi için ayrı ring gönderen bilkent mallığı amk bazen öyle gereksiz hamleler yapıyosun ki ben sizi almicam sizi başka ring alacak diyen ring gayet boştu? daha kalabalık olacağımızı sandılar herhalde,0,0,BILKENT
Bilkent yemekhanesi o kadar doyurmuyor ki arkadaşımla yemekhane planı yaptıktan sonra ben patatesli açma aldim o da fierodan sandviç almış kfnxosmzozkkzkz,0,0,BILKENT
"ege üniversitesinin 10 fanı varsa biri benim 1 fanı varsa o kişi benim
seni seviyorum ege üniversitesi",1,0,EGE
Mezuniyet işleri için ulaşamadığım ege üniversitesi öğrenci işleri🤪👍🏻😋🥰 Hollanda da dünya sıralamasında ilk 50lerde olan okulların maile bir günde dönmesi😎🔥🤫✨,0,0,EGE
"SKANDAL GELİŞME: Yıldız Teknik Üniversitesinde bulunan 8 öğrenci kulübünün faaliyetleri 1 yıl süreyle askıya alındı. 2 öğrenci kulübü tamamen kapatıldı.

1988’de kurulan Yıldız Sinema Kulübü ve 1982’de kurulan Yıldız Tiyatro Kulübü kapatıldı.",0,0,YTU
Ytü sen berbat bir okulsun umarım kapanırsın,0,0,YTU
"Ytünün main karekteri olarak yeni gelen npclere ytü taktikleri

-A kapısında otostop çekin

-Büyük evde tuvalet sırası beklemektense yemekhanede altta ve üstte var oralara gidin

-Suyu a101 den alın çeşmeden gelen su baya kötü

-cevizlibağ metrobus 8 10 arası boş onu",0,0,YTU
seni çok sevdim YTÜ,1,0,YTU
Ytü bursuna yeterli olmadığım için başvuramıyorum hata vs bir şey mi var her şey geçen seneyle aynı işte aldım geçen sene bu sene ne değişti de yetersiz oldum,0,0,YTU
ytü time etinden suyundun nefret ediyorum amk erkeği kızı çoğu cinsiyetçi karaktersiz konuştuğum dostlar harici kapatılsın,0,0,YTU
Arkadaşıma ytü şapkası seçiyoruz ben niye kötü üni dhf seçtim diye sorguladım bi…,1,0,YTU
ytü öğrencisi olmak yani soran herkese üniversiteni kötüleyip biri kötü laf edince de muhammedi savunan müslüman gibi savunmak,1,0,YTU
YTÜ iktisat vazgeçtim ODTÜ uluslararası ilişkiler yazıyorum umarım işsiz kalmam bölüm kötü gibi geliyor,0,0,YTU
"YTÜ 2024-2025 döneminde

En az 150 öğrenciye disiplin soruşturması açıldı,

Farklı suçlamalardan en az 80 öğrenci gözaltına alındı, onlarca öğrenci cezaevinde yattı, ev hapisleri, yurtdışı çıkış yasakları. 
1 öğrenci cezaevinde açlık grevine girdi. 

114 yılın en kötü senesiydi.",0,0,YTU
Ay nolur bu sınavı geçeyim bıktım YTÜ kampüsüne gitmekten🫠🥲,0,0,YTU
"Mühendislik araştırmaktan çok yorulduğum için araştırmayı bırakıyorum, eczacılık yazıcam. Batsın ytü sü de çift anadalı da iş bulması da…  Gerçekten bıktım. Ytü de de okumam yani ne var. Ben de İstanbul ünide eşit ağırlıkçılarla ortam yaparım illa mühendis çevre mi yapıcaz",0,0,YTU
EN KÖTÜ YTÜ YAZARSINIZ GENÇLER ÜZÜLMEYİN,0,0,YTU
1 senede Yıldız Teknik Üniversitesinin en altından en üstüne her biriminden nefret ettik amk,0,0,YTU
bir haftalık üni deneyimime dayanarak söylüyorum o yüzden pek de güvenmeyin şu anlık okuldan memnunum ama itü ve ytü çok içimde kaldı Allah kahretmesin ya orada okuyan birilerini görünce falan içim gidiyo napıcam of,1,0,YTU
"Gençlere biraz vizyon katabilmek, yollarına küçük de olsa dokunabilmek çok güzel bir duygu. 🌟 Bugün bir öğrencimiz Bingöl Eczane Hizmetleri’nden YTÜ Kimya Mühendisliği’ne dikey geçiş kazandı. Gurur 👏✨",1,0,YTU
"son (inşallah) güz döneminde istediğim bütün dersleri alabildim , teşekkürler ytü.",1,0,YTU
Yaprak dökümü neclayı ytü mimarlık okuo die seviyorum,1,0,YTU
İstanbul üni siyasal fakültesi o kadar iyi ki cayır cayır yanıyorum burada okumadıgım icin ytü iktisat fakültesine dönmek istemiyorum 💔💔💔,0,0,YTU
Asla bir hedefim falan yok ama yıldız teknik de kimya mühendisliği okumak kulağa harika gelmiyo mu ya,1,0,YTU
YTÜ bizim eve o kadar uzak ki iyi ki tutturamamışım,0,0,YTU
"Bircok mezunumuza ve Bendenize Ulusal ve Uluslarası bilim ve teknoloji alanında degerli bir kariyer kazandıran; 
YTÜ 
DİPLOMA larına
sahip olmaktan  onur ve gurur duyuyorum.
Üniversitelerimiz ve Ülkemizi yönetenlerin sorumsuzluğu, basiretsizligi ve de aymazlığı sonucu",1,0,YTU
Sahte diploma konusu sayesinde Yıldız mezunu olduğumuzu söylemeye de utanır hale geldik. Teşekkürler Yıldız Teknik Üniversitesi...,0,0,YTU
"Türkiye’den 11 üniversitenin QS 2026 Dünya Üniversiteleri Sıralaması’nda ilk 1000’e girmesi gurur verici. 🎓🌍
ODTÜ (269) ve İTÜ (298) ilk 300’de yer alırken; Koç (323), Boğaziçi (371), Sabancı (404), Bilkent (415), Hacettepe (571), İstanbul (628), Ankara (697), YTÜ (736) ve Gazi (915) gibi köklü kurumlarımız da listede.

Bilime, araştırmaya ve nitelikli eğitime yapılan her yatırım meyvesini verir.
Daha iyisi neden olmasın? 🇹🇷📚 #QS2026 #Eğitim #Üniversiteler #Türkiye",1,0,YTU
AkademiLink ytü bölümü tek kelimeyle muhteşem olmuş,1,0,YTU
"Kombinimi yapmak için günler harcadım, salak yildiz teknik yüzünden sadece 10 kişi gördü sunumumu ve kombinimi kendisiyle mükemmel uyumunu.
Alacağın olsun yildiz teknik.",0,0,YTU
"Yardım sever iş insanı Tunç Holding sahibi sayın Dinçer Azaphan YTü bahar feste Yalını getireceğini açıkladı

teşekkürler yüreği güzel insan🙋‍♂️🌹",1,0,YTU
Ytü denilen üniversite benim hazırlık sınav sonucumu uyandığımda açıklamamış olursa gtüye geçiyom,0,0,YTU
"ders ekle sil niye başlamadı gözüküyor, neden normal ders seçim günlerimizde sistem çöküyor? ytü'den giderek soğuyorum ama",0,0,YTU
"Ders seçimi yapmaya çalışıyorsun ucunda mezuniyetin, uzayan okulun, ailene yüklenen belki yine dönem masrafların var; hocalarına yazıyorsun yardım bekliyorsun, hocan sana ODTÜ'yü kazansaydın diyor. YTÜ'den ders çıkmaz komşuya gidiyoruz. #YTÜ",0,0,YTU
ders seçme kaosunu bile özledim desem ytü kardeşcanlar beni öldürür mü,1,0,YTU
ytü ders seçimi. dünya üzerindeki en kanser sistem.,0,0,YTU
"İnce düşünmede, istisnasız her dönem ders seçiminden itibaren öğrencileri mücadeleye tabi tutup rahat olmayacaklarımesajını veren YTÜ gibi ol",0,0,YTU
YTÜ GEMİ İNŞAAT BÖLÜMÜ STAJ OFİSİ KAZANDIĞINIZ HER PARA HARAM ZIKKIM OLSUN SAAT 11DE İŞE GEL NE ZAMAN ÖĞRENCİ ARASA TELEFONU AÇMA 1DE ÖĞLEN OFİSTEN ÇIK SONRA PAZARTESİNE KADAR DÖNME BÖYLE İŞ Mİ OLUR AMINA KOYİM BELEŞE PARA KAZANIYOR PİÇLER BOĞAZLARINDA KALSIN YEDİKLERİ HER LOKMA,0,0,YTU
"üniversite, yurt, müfredat ve linkedin profili incelemekten ekran sürem 25 saate çıktı. hayvan gibi çalışıp itü ytü gtü ankara yazıp geçecektim hiç böyle şeylerle uğraşmama gerek kalmayacaktı.",1,0,YTU
"yatay geçiş yapmak istiyorum en olası en istediğim yer ise ytü

ytünün yatay geçiş şartlarının hepsini karşılıyorum ama bir tanesi hariç

o da tüm dersler minimum cc olacak benim 1 tane dd var o dersi de vize 5 final 1 büt 65 diye verdim 

o dersi güzde alıp cc yaparsam ++",1,0,YTU
31k ile YTÜ türkçe iktisat gelir mi ya 46kdan 25lere çekecek gibi baya talibi var marmara ve iü iktisattan da bir türlü emin olamıyorum herkes farklı bir şey söylüyor staj imkanları falan bilen varsa aydınlatabilir mi,1,0,YTU
ulan ytü obs ben senden daha büyükmüşüm onu anladım ezik,0,0,YTU
"ytü burs basvurusunda yanlis bisi yapinca silip tekrardan baslama isinin sacmalik,,,,,,,, abi su siteye bi geri tusu koyamadiniz mi",0,0,YTU
"Sahte diploma olayındaki üniversitelerin ortak bir özelliği de hepsi aynı öğrenci otomasyonunu kullanıyor. YTÜ’de iki sene önce okulun 20 yıldır kullandığı USİS sistemini silip OBS’yi kullanmaya başladı.

OBS kullanmayan İTÜ-ODTÜ’de sahte diploma olayı yok.

@fevzickr @ismailari_",0,0,YTU
Yıldız teknik öğrenci işleri yerine tayyibi arasam daha kolay ulaşırdım,0,0,YTU
ytü kütüphanede yt shorts izledim beleş internet,1,0,YTU
"Yıldız Teknik Üniversitesi Rektörlüğünün, kulüplerin Cevizlibağ KYK yurdu ile ilgili ""Güvenli Yurt İstiyoruz"" bildirisi üzerine, 11 öğrenci kulübünü ""siyasi itisaklı"" göstererek kapatmasının karşısındayız. Seçilmiş LDP İstanbul İl Başkanlığı olarak keyfi devlet bürokrasisi karşısında haklarını arayan Yıldız Teknik Üniversitesi öğrencilerinin yanındayız. Güvenli yurt talebi siyasi değildir. Özgür düşüncenin hakim olması gereken üniversitelerin yasakçı zihniyetle yönetilmesini kabul etmiyoruz.
#YTÜKULÜPLERİAÇ",0,0,YTU
"Kulüplerimizden Elinizi Çekin!
İktidar kuklası kayyum rektörlerin kampüs hayatını bitirme çabası öğrencilerin birliğinden, bizleri mahkûm etmeye çalıştıkları sömürü, sefalet ve geleceksizliğe karşı çıkacak sesimizden korkularındandır.
YTÜ'de 11 kulübümüze karşı alınan kararı kabul etmiyoruz!
#YTÜKULÜPLERİAÇ",0,0,YTU
"Hayatımda yediğim en iyi ızgara köfteyi Yıldız Teknik Üni Teknopark’ta yemek bana da sürpriz oldu.. Yolunuz düşerse kampüs içinde bulunan Ağa Lokantasına bir gidin, ciddi tavsiye",1,0,YTU
Çıkan yurt ytü ye itü den daha yakın amk yatay geçiş yapıyorum 😭,0,0,YTU
ytü yemekhane 50 TL olmuş yuh amk her gün makarina yemekten götümüzde kurt çıkacak,0,0,YTU
Ytü de kampüs faresi olmak feci sarardı ya,1,0,YTU
Dümenden itü ytü yazıp kampüs faresi olma işi,1,0,YTU
Ytü cantasi cok cirkin ya düzgününü yapın millet o kadar yurt dısına memlekete falan gezdirip foto cekip atıyo imajimiz için daha iyi bir tasarım lazım,0,0,YTU
Sahtecilik belirli üniversitelerde oluyormuş en çok da YTÜ’’sinde acaba diyorum buralarda bir temizlik mi yapılmalı?,0,0,YTU
"Yıldız Teknik Üniversitesi kampüsündeki bazı başıboş köpeklerin toplatıldığını öğrendik. Öğrenciler güvenli, temiz bir kampüs hakediyor. Teşekkür ederiz. @YildizEdu",1,0,YTU
ah arabam olaydı da ucube ytü cehenneminde ring beklemeyeydim,0,0,YTU
"Arkadaşlar itüye kanmayın, isimden başka bişileri yok: kampüs desen ytü daha iyi eğitim desen koç iyi rektör desen odtü iyi yani kısaca itü yerine ytü yazın",1,0,YTU
yine odtü yine rezalet amk imza verip emanete koyduğumuz ve kilitli durması gereken eşyaları işçiler girmiştir bulamadıysanız yapacak bir şey yok diyip geçiştirmek ne demek deli olucam ya,0,0,ODTU
"açık ara ülkedeki en KÖTÜ ders seçme sistemi ==== odtü

- her şey manuel
- sürekli sais kontrolü
- ders criteriaları manuel kontrol zorunluluğu
- robot değilim testinin rastgeleliği
- vacant quota for this course",0,0,ODTU
"Turkiyede üniversite mezunu olmak bir başarı değil. İsterseniz ODTÜ, İstanbul Üniversitesi, Boğaziçi veya Hacettepe gibi rezalet ama iyi sandığınız üniversitelerde okuyun hiç bir şey değişmez. Nedenlerine dair argümanları defalarca anlattım.",0,0,ODTU
biz okuduğumuz okulu cimere şikayet etmiş adamız birader kimse bana devrimcilikten bahsetmesin. bekle beni odtü,1,0,ODTU
odtü okuyan herkesten nefret ediyorum sırf ben okumadığım için,1,0,ODTU
Tr 1.çocuk Koç Bilgisayar yazmış bu seviyede her mühendislik iş yapar unutmayın ODTÜ İTÜ veya top seviye bir Vakıf olmadığı müddetçe EE Makine İnşaattan ayrı mühendislik yazmayın 1.’ye Bilgisayar yazdırmak ayrı bir ahmaklık izin vermeyin kötü bölüm kim yönlendiriyor bu çocukları?,1,0,ODTU
ODTÜ Sosyoloji'ye yerleşenler üzülmesin. En iyi ihtimalle herhangi bir kurumsalda IK'cı olursunuz en kötü ihtimalle ev yapımı analizlerinizle ailenizin ve dostlarınızın içini karartırsınız . Ancak her ikisini aynı anda yapamazsınız. Bunlar bir spektrumda yer alır.,0,0,ODTU
düşmediğim propagandalar: bilkent koç sabancı ya da boğaziçi odtü olmadiği sürece iyi okul kötü bölüm (dil için hacettepe ve dtcf de sayılır),1,0,ODTU
Bu tercihlerimden de pişmanım umarım bir yer çıkmaz la çok korkuyorum amk ben ODTÜ istiyorummmm bir anda kendimi Erzurum'da bulmak degil,1,0,ODTU
